"REF_DATE","GEO","DGUID","Trade","Basis","Seasonal adjustment","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-09","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","36515.3","","","","1"
"2010-10","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","36565.1","","","","1"
"2010-11","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","35993.3","","","","1"
"2010-12","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","34209.1","","","","1"
"2011-01","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","33449.7","","","","1"
"2011-02","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","33257.4","","","","1"
"2011-03","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","40281.0","","","","1"
"2011-04","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","36925.1","","","","1"
"2011-05","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","38628.0","","","","1"
"2011-06","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","39452.3","","","","1"
