Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
Sp16,"Cordoba, Spain",2016,2017-02-02,0:40:00,Weather Station,Temperature,C,6.9,51
Sp16,"Cordoba, Spain",2016,2017-02-03,7:30:00,Weather Station,Temperature,C,11.6,52
Sp16,"Cordoba, Spain",2016,2017-02-04,3:20:00,Weather Station,Temperature,C,11.5,53
Sp16,"Cordoba, Spain",2016,2017-02-05,23:00:00,Weather Station,Temperature,C,5.5,54
Sp16,"Cordoba, Spain",2016,2017-02-06,6:50:00,Weather Station,Temperature,C,3.3,55
Sp16,"Cordoba, Spain",2016,2017-02-07,8:40:00,Weather Station,Temperature,C,3.4,56
Sp16,"Cordoba, Spain",2016,2017-02-08,8:30:00,Weather Station,Temperature,C,3.7,57
Sp16,"Cordoba, Spain",2016,2017-02-09,5:00:00,Weather Station,Temperature,C,1.1,58
Sp16,"Cordoba, Spain",2016,2017-02-10,2:40:00,Weather Station,Temperature,C,4.3,59
Sp16,"Cordoba, Spain",2016,2017-02-11,8:50:00,Weather Station,Temperature,C,7.1,60
Sp16,"Cordoba, Spain",2016,2017-02-12,0:40:00,Weather Station,Temperature,C,9.3,61
Sp16,"Cordoba, Spain",2016,2017-02-13,23:59:00,Weather Station,Temperature,C,8.5,62
Sp16,"Cordoba, Spain",2016,2017-02-14,6:10:00,Weather Station,Temperature,C,7,63
Sp16,"Cordoba, Spain",2016,2017-02-15,1:30:00,Weather Station,Temperature,C,5.1,64
Sp16,"Cordoba, Spain",2016,2017-02-16,6:30:00,Weather Station,Temperature,C,6.1,65
Sp16,"Cordoba, Spain",2016,2017-02-17,8:00:00,Weather Station,Temperature,C,4.9,66
Sp16,"Cordoba, Spain",2016,2017-02-18,8:10:00,Weather Station,Temperature,C,4.7,67
Sp16,"Cordoba, Spain",2016,2017-02-19,7:30:00,Weather Station,Temperature,C,8.7,68
Sp16,"Cordoba, Spain",2016,2017-02-20,3:00:00,Weather Station,Temperature,C,7.9,69
Sp16,"Cordoba, Spain",2016,2017-02-21,23:50:00,Weather Station,Temperature,C,9.6,70
Sp16,"Cordoba, Spain",2016,2017-02-22,8:20:00,Weather Station,Temperature,C,8.1,71
Sp16,"Cordoba, Spain",2016,2017-02-23,23:00:00,Weather Station,Temperature,C,10.4,72
Sp16,"Cordoba, Spain",2016,2017-02-24,7:00:00,Weather Station,Temperature,C,7.3,73
Sp16,"Cordoba, Spain",2016,2017-02-25,1:20:00,Weather Station,Temperature,C,9.4,74
Sp16,"Cordoba, Spain",2016,2017-02-26,3:50:00,Weather Station,Temperature,C,9.8,75
Sp16,"Cordoba, Spain",2016,2017-02-27,2:30:00,Weather Station,Temperature,C,7.6,76
Sp16,"Cordoba, Spain",2016,2017-02-28,3:00:00,Weather Station,Temperature,C,6.7,77
