"REF_DATE","GEO","DGUID","Gender (3)","Age (15C)","Statistics (3)","Place of birth (290)","Non-permanent resident type (10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Asia","Non-permanent residents with a study permit only","","0","units","0","","1.1.4.1.199.5","80605","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Asia","Non-permanent residents with work and study permits","","0","units","0","","1.1.4.1.199.6","53085","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Asia","Other non-permanent resident types","","0","units","0","","1.1.4.1.199.7","7620","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Asia","Not a non-permanent resident","","0","units","0","","1.1.4.1.199.8","375745","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Oceania","Total - Non-permanent resident type","","0","units","0","","1.1.4.1.256.1","4380","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Oceania","Non-permanent residents with a work permit only","","0","units","0","","1.1.4.1.256.4","595","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Oceania","Non-permanent residents with a study permit only","","0","units","0","","1.1.4.1.256.5","225","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Oceania","Non-permanent residents with work and study permits","","0","units","0","","1.1.4.1.256.6","135","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Oceania","Other non-permanent resident types","","0","units","0","","1.1.4.1.256.7","70","","","","0"
"2021","Canada","2021A000011124","Total - Gender","15 to 24 years","Count","Oceania","Not a non-permanent resident","","0","units","0","","1.1.4.1.256.8","3350","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Total – Place of birth","Total - Non-permanent resident type","","0","units","0","","1.1.7.1.1.1","19568265","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Total – Place of birth","Asylum claimants","","0","units","0","","1.1.7.1.1.3","84550","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Total – Place of birth","Non-permanent residents with a work permit only","","0","units","0","","1.1.7.1.1.4","302125","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Total – Place of birth","Non-permanent residents with a study permit only","","0","units","0","","1.1.7.1.1.5","57555","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Total – Place of birth","Non-permanent residents with work and study permits","","0","units","0","","1.1.7.1.1.6","62520","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Total – Place of birth","Other non-permanent resident types","","0","units","0","","1.1.7.1.1.7","45210","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Total – Place of birth","Not a non-permanent resident","","0","units","0","","1.1.7.1.1.8","19016300","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Inside Canada","Total - Non-permanent resident type","","0","units","0","","1.1.7.1.2.1","13461220","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Inside Canada","Not a non-permanent resident","","0","units","0","","1.1.7.1.2.8","13461220","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Americas","Total - Non-permanent resident type","","0","units","0","","1.1.7.1.17.1","948265","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Americas","Asylum claimants","","0","units","0","","1.1.7.1.17.3","25320","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Americas","Non-permanent residents with a work permit only","","0","units","0","","1.1.7.1.17.4","49710","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Americas","Non-permanent residents with a study permit only","","0","units","0","","1.1.7.1.17.5","8830","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Americas","Non-permanent residents with work and study permits","","0","units","0","","1.1.7.1.17.6","10135","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Americas","Other non-permanent resident types","","0","units","0","","1.1.7.1.17.7","8245","","","","0"
"2021","Canada","2021A000011124","Total - Gender","25 to 64 years","Count","Americas","Not a non-permanent resident","","0","units","0","","1.1.7.1.17.8","846025","","","","0"
