"REF_DATE","GEO","DGUID","Principal trading partner","North American Product Classification System (NAPCS)","Trade","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","617805.0","","","","1"
"2017","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","737971.1","","","","1"
"2018","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","673018.9","","","","1"
"2019","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","341367.8","","","","1"
"2020","Canada","2016A000011124","United States","Natural gas liquids (including condensate) and related products [143]","Import","Dollars","81","thousands","3","v1073209763","1.1.15.2","358069.4","","","","1"
"1999","Canada","2016A000011124","United States","Coal [144]","Export","Dollars","81","thousands","3","v1073209764","1.1.16.1","60430.8","","","","1"
"2000","Canada","2016A000011124","United States","Coal [144]","Export","Dollars","81","thousands","3","v1073209764","1.1.16.1","130375.0","","","","1"
"2001","Canada","2016A000011124","United States","Coal [144]","Export","Dollars","81","thousands","3","v1073209764","1.1.16.1","199586.9","","","","1"
"2002","Canada","2016A000011124","United States","Coal [144]","Export","Dollars","81","thousands","3","v1073209764","1.1.16.1","177915.4","","","","1"
"2003","Canada","2016A000011124","United States","Coal [144]","Export","Dollars","81","thousands","3","v1073209764","1.1.16.1","162292.9","","","","1"
"2004","Canada","2016A000011124","United States","Coal [144]","Export","Dollars","81","thousands","3","v1073209764","1.1.16.1","220021.2","","","","1"
