"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","73.32","","","","2"
"2001","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","72.57","","","","2"
"2002","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","76.31","","","","2"
"2003","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","79.84","","","","2"
"2004","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","86.89","","","","2"
"2005","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","82.99","","","","2"
"2006","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","77.97","","","","2"
"2007","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","80.23","","","","2"
"2008","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","72.84","","","","2"
"2009","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","75.53","","","","2"
"2010","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","82.26","","","","2"
"2011","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","75.77","","","","2"
"2012","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","69.20","","","","2"
"2013","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","69.24","","","","2"
"2014","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","63.81","","","","2"
"2015","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","65.19","","","","2"
"2016","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","67.91","","","","2"
"2017","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","60.67","","","","2"
"2018","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","61.88","","","","2"
"2019","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","68.36","","","","2"
"2020","Newfoundland and Labrador [10]","2021A000210","Non-violent crime severity index","Index","160","units","0","v44312471","2.5","64.32","","","","2"
