"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","127410","","","","0"
"2016","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","123827","","","","0"
"2017","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","142920","","","","0"
"2018","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","146903","","","","0"
"2019","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","152816","","","","0"
"2020","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","157857","","","","0"
"2021","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","189082","","","","0"
"2022","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","189202","","","","0"
"2023","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","185651","","","","0"
"2024","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","190859","","","","0"
"2025","Canada","2016A000011124","Housing starts","Multiples","Units","300","units","0","v730568","1.1.4","206754","","","","0"
"1955","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","127929","","","","0"
"1956","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","135700","","","","0"
"1957","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","117283","","","","0"
"1958","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","146686","","","","0"
"1959","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","145671","","","","0"
"1960","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","123757","","","","0"
"1961","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","115608","","","","0"
"1962","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","126682","","","","0"
"1963","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","128191","","","","0"
"1964","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","150963","","","","0"
"1965","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","153037","","","","0"
"1966","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","162192","","","","0"
"1967","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","149242","","","","0"
"1968","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","170993","","","","0"
"1969","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","195826","","","","0"
"1970","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","175827","","","","0"
"1971","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","201232","","","","0"
"1972","Canada","2016A000011124","Housing completions","Total units","Units","300","units","0","v732453","1.3.1","232227","","","","0"
