"REF_DATE","GEO","DGUID","Age (15C)","Gender (3)","Statistics (2)","Religion (25)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","2021 Counts","Jewish","","0","units","0","","1.3.1.1.20","277850","","","","0"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","2021 Counts","Muslim","","0","units","0","","1.3.1.1.21","1309485","","","","0"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","2021 Counts","Sikh","","0","units","0","","1.3.1.1.22","641925","","","","0"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","2021 Counts","Traditional (North American Indigenous) spirituality","","0","units","0","","1.3.1.1.23","57275","","","","0"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","2021 Counts","Other religions and spiritual traditions","","0","units","0","","1.3.1.1.24","203960","","","","0"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","2021 Counts","No religion and secular perspectives","","0","units","0","","1.3.1.1.25","10031835","","","","0"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","% distribution (2021)","Total - Religion","","0","units","0","","1.3.1.2.1","83.5","","","","1"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","% distribution (2021)","Buddhist","","0","units","0","","1.3.1.2.2","0.9","","","","1"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","% distribution (2021)","Christian","","0","units","0","","1.3.1.2.3","46.3","","","","1"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","% distribution (2021)","Hindu","","0","units","0","","1.3.1.2.19","1.9","","","","1"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","% distribution (2021)","Jewish","","0","units","0","","1.3.1.2.20","0.8","","","","1"
"2021","Canada","2021A000011124","15 years and over","Total - Gender","% distribution (2021)","Muslim","","0","units","0","","1.3.1.2.21","3.6","","","","1"
